entityid,NAME
,ROSEMONT/MOUNT ROYAL
,NORTH CENTRAL
,HERITAGE
,NORMANVIEW WEST
,WHITMORE PARK
,REGENT PARK
,DIEPPE
,CENTRE SQUARE
,MCNAB
,BOOTHILL
,LAKEVIEW
,UPLANDS
,NORMANVIEW
,ALBERT PARK
,DEWDNEY EAST
,CATHEDRAL AREA
,ARGYLE PARK/ENGLEWOOD
,CORONATION PARK
,SHERWOOD/MCCARTHY
,ARCOLA EAST
,TWIN LAKES
,EASTVIEW
,WALSH ACRES/LAKERIDGE/GARDEN RIDGE
,GLADMER PARK
,DOWNTOWN
,NORTHEAST
,PRAIRIE VIEW
,HILLSDALE
,AL RITCHIE
