entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,ATHLETIC FIELD,LESLIE LAWNBOWLING PARK GREEN "B" (WEST CENTER) - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,3820 VICTORIA AVENUE,LESLIE LAWNBOWLING PARK GREEN "B" (WEST CENTER),50.447559255,-104.637159079
,BALL DIAMOND,W.F. READY SCHOOL - BALL DIAMOND BS #69,2710 HELMSING STREET,W.F. READY SCHOOL,50.4381291670001,-104.540077175
,BALL DIAMOND,ST. ANNE PARK - BALL DIAMOND BS #256,342 N HALIFAX STREET,ST. ANNE PARK,50.4826549490001,-104.604422542
,PLAYGROUND,ATHABASCA SCHOOL - PLAYGROUND 3901 PRINCESS DR,3901 PRINCESS DRIVE,ATHABASCA SCHOOL,50.435689821,-104.63852154
,PUBLIC ELEMENTARY SCHOOL,W. H. FORD - PUBLIC ELEMENTARY SCHOOL,480 RINK AVENUE,W. H. FORD - PUBLIC ELEMENTARY SCHOOL,50.4885697330001,-104.669427756
,BALL DIAMOND,SHELDON WILLIAMS COLLEGIATE - BALL DIAMOND BS #33,2601 CORONATION STREET,SHELDON WILLIAMS COLLEGIATE,50.4362088120001,-104.633662344
,UNIVERSITY OF REGINA,LANGUAGE INSTITUTE,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.418855852,-104.588397599
,BALL DIAMOND,KINSMEN PARK NORTH NE - BALL DIAMOND BS #168,850 PASQUA STREET,KINSMEN PARK NORTH NE,50.4657841900001,-104.641523426
,LIBRARY,GLEN ELM BRANCH LIBRARY,1601 E DEWDNEY AVENUE,GLEN ELM BRANCH LIBRARY,50.454610775,-104.560206583
,UNIVERSITY OF REGINA,INFORMATION TECHNOLOGY BUILDING,4141 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4134469540001,-104.58972186
,BASKETBALL,DOUGLAS PARK SCHOOL - BASKETBALL,635 E DOUGLAS AVENUE,DOUGLAS PARK SCHOOL,50.4323166600001,-104.574880623
,ARENA,JACK W. STAPLES - ARENA,444 N BROAD STREET,JACK W. STAPLES,50.4827558330001,-104.607292542
,OUTDOOR RINK UNBOARDED,READY PARK - OUTDOOR RINK UNBOARDED,3043 E ARENS ROAD,READY PARK,50.4367023170001,-104.54088622
,WASCANA CENTRE,WASCANA PLACE ADMINISTRATION BUILDING,2960 WASCANA DRIVE,WASCANA CENTRE,50.432484317,-104.60673058
,PLAYGROUND,ST. FRANCIS SCHOOL W - PLAYGROUND 45 MIKKELSON DR,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL W,50.4648315810001,-104.666161686
,OTHER SCHOOL,WESTERN CHRISTIAN COLLEGE AND HIGH SCHOOL - 4400 4TH AVE.,4400 4TH AVENUE,WESTERN CHRISTIAN COLLEGE AND HIGH SCHOOL - 4400 4TH AVE.,50.4633647400001,-104.644893412
,ATHLETIC FIELD,MACNEILL SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,6215 WHELAN DRIVE,MACNEILL SCHOOL,50.4978638520001,-104.669747833
,OUTDOOR RINK UNBOARDED,LESLIE PARK - OUTDOOR RINK UNBOARDED,3820 VICTORIA AVENUE,LESLIE PARK,50.4475286530001,-104.634386247
,BASKETBALL,ATHABASCA SCHOOL - BASKETBALL,3901 PRINCESS DRIVE,ATHABASCA SCHOOL,50.436067285,-104.638496442
,SEPARATE HIGH SCHOOL,MILLER COMPREHENSIVE HIGH SCHOOL - SEPARATE HIGH SCHOOL,1027 COLLEGE AVENUE,MILLER COMPREHENSIVE HIGH SCHOOL - SEPARATE HIGH SCHOOL,50.439654621,-104.596603078
,OUTDOOR RINK UNBOARDED,HIND PARK - OUTDOOR RINK UNBOARDED,20 HIND STREET,HIND PARK,50.4858903160001,-104.680761735
,BALL DIAMOND,KINSMEN PARK NORTH SE - BALL DIAMOND BS #167,850 PASQUA STREET,KINSMEN PARK NORTH SE,50.4647786180001,-104.64150562
,BALL DIAMOND,HARDING PARK - BALL DIAMOND BS #107,2952 HARDING STREET,HARDING PARK,50.432993137,-104.549291416
,PLAYGROUND,RUTH M. BUCK SCHOOL - PLAYGROUND,6330 7TH AVENUE N,RUTH M. BUCK SCHOOL,50.4760842580001,-104.671837848
,PLAYGROUND,HASTINGS PARK - PLAYGROUND 216 HASTINGS CRES,216 HASTINGS CRESCENT,HASTINGS PARK,50.4820862620001,-104.673555932
,PLAYGROUND,RUTH PAWSON SCHOOL - PLAYGROUND 40 WEEKES CRES,40 WEEKES CRESCENT,RUTH PAWSON SCHOOL,50.49566932,-104.604549451
,PLAYGROUND,WASCANA VIEW PARK - PLAYGROUND 3025 WASCANA CIR,3025 WASCANA CIRCLE,WASCANA VIEW PARK,50.4201561960001,-104.539587898
,UNIVERSITY OF REGINA,HEATING PLANT,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.415236371,-104.588424361
,PUBLIC ELEMENTARY SCHOOL,DOUGLAS PARK - PUBLIC ELEMENTARY SCHOOL,635 E DOUGLAS AVENUE,DOUGLAS PARK - PUBLIC ELEMENTARY SCHOOL,50.4323021970001,-104.57435821
,BALL DIAMOND,LAKEVIEW SCHOOL SE - BALL DIAMOND BS #17,3100 20TH AVENUE,LAKEVIEW SCHOOL SE,50.4319128430001,-104.625627274
,BALL DIAMOND,THOM COLLEGIATE - BALL DIAMOND BS #263,265 N ARGYLE STREET,THOM COLLEGIATE,50.480071545,-104.629370832
,PLAYGROUND,KIWANIS PARK EXT. - PLAYGROUND 2475 ELPHINSTONE ST,2475 ELPHINSTONE STREET,KIWANIS PARK EXT.,50.4390114660001,-104.627882782
,BALL DIAMOND,ALBERT SCHOOL - BALL DIAMOND BS #120,1340 ROBINSON STREET,ALBERT SCHOOL,50.458109441,-104.62424216
